,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,,,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
117,27/11/2009,Bochum,FC Koln,75,79,71,73,72,75,0.414837822,0.283668023,0.301494155,X,2.216666667,3.241666667,3.05,17,15,1,1.333333333,0.333333333,1.666666667
118,28/11/2009,Hertha,Ein Frankfurt,77,75,72,72,76,72,0.456822288,0.280586278,0.262591434,2,2.016666667,3.283333333,3.508333333,18,10,0.666666667,1.666666667,1.333333333,2.333333333
119,28/11/2009,Hoffenheim,Dortmund,79,75,77,76,76,79,0.50923625,0.271509254,0.219254496,2,1.808333333,3.391666667,4.2,6,9,2,1.333333333,1,0.666666667
120,28/11/2009,Mainz,Hamburg,74,79,70,76,71,80,0.328478316,0.281888025,0.389633659,X,2.803333333,3.266666667,2.363333333,7,5,0.666666667,0.333333333,1,1.333333333
121,28/11/2009,M'gladbach,Schalke 04,74,79,71,76,73,78,0.277413853,0.280943292,0.441642855,1,3.316666667,3.275,2.083333333,11,3,1,0.333333333,1,0.666666667
122,28/11/2009,Nurnberg,Freiburg,71,71,71,68,70,70,0.463070965,0.277609294,0.259319741,2,1.983333333,3.308333333,3.541666667,15,13,1,1.333333333,1,2.333333333
123,28/11/2009,Werder Bremen,Wolfsburg,80,83,78,77,79,79,0.512235587,0.264205724,0.223558689,X,1.796666667,3.483333333,4.116666667,2,8,3,1,2,2
124,29/11/2009,Hannover,Bayern Munich,74,85,72,81,74,83,0.199818811,0.26416238,0.53601881,2,4.605,3.483333333,1.716666667,12,4,0.666666667,2.333333333,1.666666667,0.666666667
125,29/11/2009,Leverkusen,Stuttgart,76,79,77,76,79,78,0.540345306,0.261721755,0.19793294,1,1.703333333,3.516666667,4.65,1,17,3,0.333333333,0.333333333,1.666666667
126,04/12/2009,Bayern Munich,M'gladbach,85,74,81,71,83,73,0.730862277,0.178051747,0.091085976,1,1.256666667,5.158333333,10.08333333,4,11,1.666666667,0.666666667,1,0.333333333
127,05/12/2009,Dortmund,Nurnberg,75,71,76,71,79,70,0.551432727,0.260629996,0.187937276,1,1.67,3.533333333,4.9,7,17,2,0.333333333,1,2.333333333
128,05/12/2009,Ein Frankfurt,Mainz,75,74,72,70,72,71,0.422735075,0.285839002,0.291425923,1,2.175,3.216666667,3.155,10,9,2,1,0.333333333,1
129,05/12/2009,Hamburg,Hoffenheim,79,79,76,77,80,76,0.40678091,0.281123906,0.312095184,X,2.263333333,3.275,2.95,5,6,0.333333333,0.666666667,1.666666667,0.666666667
130,05/12/2009,Hannover,Leverkusen,74,76,72,77,74,79,0.214647354,0.266369608,0.518983039,X,4.291666667,3.458333333,1.775,12,1,0,1.666666667,1.666666667,0.333333333
131,05/12/2009,Stuttgart,Bochum,79,75,76,71,78,72,0.590079285,0.247409925,0.16251079,X,1.558333333,3.716666667,5.658333333,16,15,0.666666667,2,0.666666667,0.333333333
132,05/12/2009,Wolfsburg,Freiburg,83,71,77,68,79,70,0.625004717,0.228995504,0.145999779,X,1.471666667,4.016666667,6.3,8,13,2,2.333333333,1,2.666666667
133,06/12/2009,FC Koln,Werder Bremen,79,80,73,78,75,79,0.184622232,0.24978302,0.565594748,X,4.983333333,3.683333333,1.626666667,14,2,0,1.333333333,2.666666667,0.666666667
134,06/12/2009,Schalke 04,Hertha,79,77,76,72,78,76,0.660869957,0.214975597,0.124154446,1,1.393333333,4.283333333,7.416666667,3,18,1.333333333,0.333333333,0.666666667,2
135,11/12/2009,Hertha,Leverkusen,77,76,72,77,76,79,0.195593398,0.263423887,0.540982715,X,4.725,3.508333333,1.708333333,18,1,0.666666667,2,1.666666667,0.333333333
136,12/12/2009,Bochum,Bayern Munich,75,85,71,81,72,83,0.13294476,0.229073203,0.637982037,2,6.958333333,4.038333333,1.45,16,3,0.666666667,2,3.333333333,0.666666667
137,12/12/2009,Freiburg,FC Koln,71,79,68,73,70,75,0.42337281,0.2855305,0.29109669,X,2.175,3.225,3.163333333,12,14,1,0.666666667,0,0
138,12/12/2009,Hoffenheim,Ein Frankfurt,79,75,77,72,76,72,0.61191303,0.242355051,0.145731919,X,1.508333333,3.808333333,6.333333333,7,10,0.666666667,1,2,0.666666667
139,12/12/2009,M'gladbach,Hannover,74,74,71,72,73,74,0.452617083,0.283175816,0.264207101,1,2.033333333,3.25,3.483333333,11,13,2.333333333,1.666666667,1,2.666666667
140,12/12/2009,Nurnberg,Hamburg,71,79,71,76,70,80,0.272559719,0.283713058,0.443727223,2,3.391666667,3.258333333,2.083333333,17,5,0,3,1.666666667,0.333333333
141,12/12/2009,Werder Bremen,Schalke 04,80,79,78,76,79,78,0.499233252,0.276517666,0.224249083,2,1.841666667,3.325,4.1,4,2,0.666666667,1.333333333,1.333333333,0.333333333
142,13/12/2009,Mainz,Stuttgart,74,79,70,76,71,78,0.350127319,0.288832303,0.361040378,X,2.646666667,3.208333333,2.566666667,8,15,0.666666667,1.333333333,0.666666667,2
143,13/12/2009,Wolfsburg,Dortmund,83,75,77,76,79,79,0.482434744,0.273898436,0.24366682,2,1.906666667,3.358333333,3.775,9,6,1.666666667,2.333333333,3,0.666666667
